state,ship to county,ship to city,latitude,longitude,ship to number,ship to name,parent,nickname,nh3,uan,urea,an,truck,rail,unit train,rail line,barge,nh3storage,uanstorage,ureastorage,anstorage,nh32015,nh32016,nh32017,uan2015,uan2016,uan2017,urea2015,urea2016,urea2017,an2015,an2016,an2017
MN,JACKSON,JACKSON,43.6207916,-94.9886022,100001,FCA CO-OP,100001,,no,yes,no,no,yes,no,no,n/a,no,0,2100,0,0,570.67,126.01,0,996.32,118.98,0,0,0,0,0,0,0
AZ,PINAL,CASA GRANDE,32.8795022,-111.7573521,100002,FERTILIZER CO OF ARIZONA,100002,,yes,yes,yes,no,yes,yes,no,UP,no,77,15100,8200,0,0,78.48,77.85,"10,700.93","11,637.50","10,918.18","3,426.18","3,997.48","6,282.94",0,0,0
MO,ATCHISON,FAIRFAX,40.3386088,-95.3933137,100003,FERTILIZER SERVICE CO,100003,,no,yes,no,no,yes,no,no,n/a,no,0,700,0,0,234.66,710.04,463.37,285.73,546.38,425.33,0,0,0,0,0,0
NE,KEARNEY,MINDEN,40.4986252,-98.9478594,100007,FIRST AG INC,100007,,no,yes,no,no,yes,no,no,n/a,no,0,500,0,0,0,0,0,305.4,286.21,408.63,0,0,0,0,0,0
IA,CHEROKEE,CHEROKEE,42.7494277,-95.551674,100009,FIRST COOPERATIVE ASSOCIATION,100009,,yes,yes,no,no,yes,no,no,n/a,no,211.05,6700,0,0,189.6,329.18,0,"5,127.11",718.38,"1,993.55",0,0,0,0,0,0
CO,YUMA,YUMA,40.1222084,-102.7252096,100011,FIVE STAR AG INC,100011,,no,yes,no,no,no,yes,no,BNSF,no,0,2100,0,0,0,0,0,577.5,"1,652.63",0,0,0,0,0,0,0
IA,CHICKASAW,NEW HAMPTON,43.0591412,-92.3176768,100012,FIVE STAR COOPERATIVE,100292,,yes,no,no,no,yes,no,no,n/a,no,144.375,0,0,0,359.42,298.43,141.36,0,0,0,0,0,0,0,0,0
CO,KIT CARSON,FLAGLER,39.2930463,-103.0671582,100013,FLAGLER AERIAL SPRAYING INC,100013,,no,yes,yes,no,yes,yes,no,KYLE,no,0,1300,200,0,0,0,0,972.15,775.93,0,0,160.95,0,0,0,0
IL,LIVINGSTON,FLANAGAN,40.8780891,-88.8611818,100014,FLANAGAN FERTILIZER CO INC,100014,,no,yes,no,no,yes,no,no,n/a,no,0,2500,0,0,0,0,0,"1,911.78",937.6,"1,157.11",0,0,0,0,0,0
NE,LANCASTER,LINCOLN,40.8000011,-96.6669599,100015,FLATLAND FERTILIZER,100015,,no,yes,yes,no,yes,no,no,n/a,no,0,900,100,0,104.2,0,0,185.19,725.07,365.17,0,0,51.24,0,0,0
